HUB,GERENCIA,Nombre Proyecto,Máscara PEP del proyecto,Especialidad,Código de MR,Ítem MR,Descripción del item,Área de instalación 1 (Sistema),Estado del Proceso de Aprovisionamiento,Proveedor,Fecha requerida,Fecha proyectada llegada,Estado de Inspección del Ítem,dias_atraso,semaforo
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-304,MEC._ACCESORIOS,044-MR-PI13-0959,2,ITEM DEMO 45 — MEC._ACCESORIOS,TANKAGE,EN TRÁNSITO,BETA INDUSTRIAL LTDA.,2024-02-21,2023-07-11,No requiere inspección,15,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-323,MEC._ACCESORIOS,045-MR-PI13-0576,45,ITEM DEMO 46 — MEC._ACCESORIOS,UTILITIES,EN FABRICACIÓN,BETA INDUSTRIAL LTDA.,2023-09-30,2023-04-01,No Aceptado,-86,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-267,MEC._ACCESORIOS,046-MR-PI13-0418,7,ITEM DEMO 47 — MEC._ACCESORIOS,TANKAGE,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-12-07,2023-06-08,No Aceptado,-18,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-832,MEC._ACCESORIOS,047-MR-PI13-0303,5,ITEM DEMO 48 — MEC._ACCESORIOS,TANKAGE,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2024-01-12,2023-11-25,Rechazado,152,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-714,MEC._TUBERÍA,048-MR-PI15-0924,8,ITEM DEMO 49 — MEC._TUBERÍA,TANKAGE,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2024-03-01,2023-12-06,No Aceptado,163,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-763,MEC._ACCESORIOS,049-MR-PI13-0449,1,ITEM DEMO 50 — MEC._ACCESORIOS,OFFSITES,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-09-07,2023-07-18,Parcial liberado,22,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-948,MEC._ACCESORIOS,050-MR-PI13-0570,46,ITEM DEMO 51 — MEC._ACCESORIOS,VACUUM UNIT,OC EMITIDA,BETA INDUSTRIAL LTDA.,2024-06-05,2024-04-11,Rechazado,290,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-651,MEC._ACCESORIOS,051-MR-PI13-0893,31,ITEM DEMO 52 — MEC._ACCESORIOS,OFFSITES,OC EMITIDA,ZETA FITTINGS CORP.,2023-10-25,2023-07-15,No Aceptado,19,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-950,MEC._ACCESORIOS,052-MR-PI13-0188,18,ITEM DEMO 53 — MEC._ACCESORIOS,OFFSITES,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2023-06-17,2023-04-03,No Aceptado,-84,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-606,ELÉCTRICA,053-MR-EL01-0971,21,ITEM DEMO 54 — ELÉCTRICA,VACUUM UNIT,OC EMITIDA,BETA INDUSTRIAL LTDA.,2023-12-09,2023-10-24,En programación,120,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-710,MEC._TUBERÍA,054-MR-PI15-0818,18,ITEM DEMO 55 — MEC._TUBERÍA,TANKAGE,RECIBIDO EN SITIO,EPSILON VALVES CO.,2024-03-14,2023-11-27,No requiere inspección,154,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-600,MEC._TUBERÍA,055-MR-PI15-0668,49,ITEM DEMO 56 — MEC._TUBERÍA,VACUUM UNIT,OC EMITIDA,ZETA FITTINGS CORP.,2023-03-15,2022-11-18,Rechazado,-220,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-195,MEC._ACCESORIOS,056-MR-PI13-0401,15,ITEM DEMO 57 — MEC._ACCESORIOS,OFFSITES,EN TRÁNSITO,GAMMA SUPPLIES INC.,2023-10-09,2023-09-28,Rechazado,94,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-643,MEC._TUBERÍA,057-MR-PI15-0452,28,ITEM DEMO 58 — MEC._TUBERÍA,FLARE SYSTEM,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2023-11-24,2023-10-03,En programación,99,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-357,MEC._ACCESORIOS,058-MR-PI13-0336,8,ITEM DEMO 59 — MEC._ACCESORIOS,FLARE SYSTEM,EN TRÁNSITO,GAMMA SUPPLIES INC.,2024-01-25,2024-01-17,Liberado,205,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-856,MEC._ACCESORIOS,059-MR-PI13-0595,18,ITEM DEMO 60 — MEC._ACCESORIOS,FLARE SYSTEM,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2024-02-15,2023-09-22,No Aceptado,88,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-403,SEG._Y_SCI,060-MR-SC01-0332,24,ITEM DEMO 61 — SEG._Y_SCI,VACUUM UNIT,EN FABRICACIÓN,PROVEEDOR ALPHA S.A.,2023-06-24,2022-12-17,Rechazado,-191,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-155,MEC._TUBERÍA,061-MR-PI15-0666,19,ITEM DEMO 62 — MEC._TUBERÍA,FLARE SYSTEM,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-10-31,2023-05-08,Parcial liberado,-49,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-580,MEC._VÁLVULAS,062-MR-PI14-0590,29,ITEM DEMO 63 — MEC._VÁLVULAS,UTILITIES,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2023-03-24,2022-08-02,En programación,-328,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-166,MEC._TUBERÍA,063-MR-PI15-0510,32,ITEM DEMO 64 — MEC._TUBERÍA,CRUDE UNIT,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2024-05-26,2024-05-30,Rechazado,339,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-676,INST._Y_CONTROL,064-MR-IN01-0411,6,ITEM DEMO 65 — INST._Y_CONTROL,VACUUM UNIT,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-02-27,2022-09-17,Parcial liberado,-282,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-489,INST._Y_CONTROL,065-MR-IN01-0561,29,ITEM DEMO 66 — INST._Y_CONTROL,UTILITIES,EN PROCESO DE COMPRA,DELTA EQUIPOS S.A.S.,2023-12-07,2023-08-04,En programación,39,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-857,MEC._ACCESORIOS,066-MR-PI13-0201,49,ITEM DEMO 67 — MEC._ACCESORIOS,VACUUM UNIT,EN TRÁNSITO,GAMMA SUPPLIES INC.,2023-11-18,2023-04-22,Rechazado,-65,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-665,MEC._ACCESORIOS,067-MR-PI13-0176,11,ITEM DEMO 68 — MEC._ACCESORIOS,CRUDE UNIT,OC EMITIDA,DELTA EQUIPOS S.A.S.,2023-03-13,2022-10-04,Rechazado,-265,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-337,MEC._ACCESORIOS,068-MR-PI13-0395,46,ITEM DEMO 69 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-12-01,2023-12-01,Rechazado,158,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-740,MEC._ACCESORIOS,069-MR-PI13-0703,43,ITEM DEMO 70 — MEC._ACCESORIOS,VACUUM UNIT,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-05-30,2023-02-14,No Aceptado,-132,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-946,MEC._ACCESORIOS,070-MR-PI13-0245,5,ITEM DEMO 71 — MEC._ACCESORIOS,CRUDE UNIT,EN TRÁNSITO,GAMMA SUPPLIES INC.,2023-05-26,2022-12-13,No Aceptado,-195,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-579,ELÉCTRICA,071-MR-EL01-0805,20,ITEM DEMO 72 — ELÉCTRICA,FLARE SYSTEM,OC EMITIDA,GAMMA SUPPLIES INC.,2024-02-18,2023-11-17,No Aceptado,144,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-712,MEC._ESTÁTICA,072-MR-ME01-0140,28,ITEM DEMO 73 — MEC._ESTÁTICA,FLARE SYSTEM,EN FABRICACIÓN,EPSILON VALVES CO.,2023-11-03,2023-11-15,En programación,142,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-790,MEC._ACCESORIOS,073-MR-PI13-0956,37,ITEM DEMO 74 — MEC._ACCESORIOS,TANKAGE,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2023-02-13,2022-08-03,En programación,-327,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-279,MEC._TUBERÍA,074-MR-PI15-0581,34,ITEM DEMO 75 — MEC._TUBERÍA,FLARE SYSTEM,OC EMITIDA,GAMMA SUPPLIES INC.,2023-11-22,2023-04-16,No requiere inspección,-71,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-603,MEC._ACCESORIOS,075-MR-PI13-0193,31,ITEM DEMO 76 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,GAMMA SUPPLIES INC.,2024-06-24,2024-06-07,En programación,347,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-437,MEC._ESTÁTICA,076-MR-ME01-0521,45,ITEM DEMO 77 — MEC._ESTÁTICA,OFFSITES,EN FABRICACIÓN,ZETA FITTINGS CORP.,2024-01-09,2023-07-06,Parcial liberado,10,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-422,MEC._VÁLVULAS,077-MR-PI14-0358,21,ITEM DEMO 78 — MEC._VÁLVULAS,CRUDE UNIT,OC EMITIDA,EPSILON VALVES CO.,2024-03-22,2023-08-13,Liberado,48,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-292,MEC._ACCESORIOS,078-MR-PI13-0630,24,ITEM DEMO 79 — MEC._ACCESORIOS,TANKAGE,OC EMITIDA,ZETA FITTINGS CORP.,2024-01-02,2023-12-29,Parcial liberado,186,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-662,MEC._ACCESORIOS,079-MR-PI13-0234,19,ITEM DEMO 80 — MEC._ACCESORIOS,OFFSITES,OC EMITIDA,PROVEEDOR ALPHA S.A.,2024-02-24,2023-07-25,Liberado,29,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-418,MEC._VÁLVULAS,080-MR-PI14-0664,1,ITEM DEMO 81 — MEC._VÁLVULAS,TANKAGE,OC EMITIDA,PROVEEDOR ALPHA S.A.,2024-06-12,2024-02-15,No requiere inspección,234,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-220,MEC._ACCESORIOS,081-MR-PI13-0763,10,ITEM DEMO 82 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,EPSILON VALVES CO.,2024-06-22,2023-12-23,Rechazado,180,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-583,MEC._VÁLVULAS,082-MR-PI14-0349,30,ITEM DEMO 83 — MEC._VÁLVULAS,TANKAGE,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2023-06-19,2023-05-22,No requiere inspección,-35,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-239,MEC._ESTÁTICA,083-MR-ME01-0984,5,ITEM DEMO 84 — MEC._ESTÁTICA,UTILITIES,OC EMITIDA,GAMMA SUPPLIES INC.,2024-05-16,2024-06-05,No Aceptado,345,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-405,MEC._ACCESORIOS,084-MR-PI13-0957,38,ITEM DEMO 85 — MEC._ACCESORIOS,TANKAGE,OC EMITIDA,BETA INDUSTRIAL LTDA.,2023-06-16,2022-10-20,Parcial liberado,-249,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-665,MEC._ACCESORIOS,085-MR-PI13-0881,35,ITEM DEMO 86 — MEC._ACCESORIOS,OFFSITES,OC EMITIDA,GAMMA SUPPLIES INC.,2023-11-02,2023-11-09,No requiere inspección,136,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-339,SEG._Y_SCI,086-MR-SC01-0976,50,ITEM DEMO 87 — SEG._Y_SCI,OFFSITES,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2024-06-16,2024-02-19,Rechazado,238,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-779,MEC._VÁLVULAS,087-MR-PI14-0911,42,ITEM DEMO 88 — MEC._VÁLVULAS,VACUUM UNIT,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-09-30,2023-08-16,No requiere inspección,51,VERDE
